strike_id,date,location,country,area,min_ppl_killed,max_ppl_killed,min_civil_killed,max_civil_killed,min_child_killed,max_child_killed,min_injured,max_injured,confirm_possible,air_strike,drone_strike,strike_type,min_strikes,max_strikes,long,lat,spatial_country
YEM001,2002-11-03T00:00:00Z,NA,Yemen,Marib,6,6,0,0,0,0,0,0,Confirmed,TRUE,TRUE,Drone strike,1,1,NA,NA,
B1,2004-06-17T00:00:00Z,Wana,Pakistan,South Waziristan,6,8,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,69.59762400000001,32.2982314,Pakistan
B2,2005-05-08T00:00:00Z,Toorikhel,Pakistan,North Waziristan,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan
B3,2005-11-05T00:00:00Z,Mosaki,Pakistan,North Waziristan,8,8,3,8,2,3,1,1,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan
B4,2005-12-01T00:00:00Z,Haisori,Pakistan,North Waziristan,6,6,2,3,2,2,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan
B5,2006-01-13T00:00:00Z,Damadola,Pakistan,Bajaur Agency,13,22,10,18,5,6,0,0,NA,NA,NA,NA,NA,NA,71.466445,34.8005683,Pakistan
B6,2006-10-30T00:00:00Z,Chenegai,Pakistan,Bajaur Agency,81,83,80,82,68,70,3,3,NA,NA,NA,NA,NA,NA,64.6944528,29.3057698,Pakistan
SOM001,2007-01-07T00:00:00Z,Ras Kamboni,Somalia,NA,8,10,2,2,0,1,1,3,Confirmed,TRUE,FALSE,Air assault - AC-130 Gunship,1,1,41.5837116,-1.6360371,Somalia
SOM002,2007-01-09T00:00:00Z,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",Somalia,NA,5,10,0,0,0,0,4,5,Confirmed,TRUE,FALSE,Air assault - AC-130 Gunship,1,1,41.5837116,-1.6360371,Somalia
SOM003,2007-01-09T00:00:00Z,Hayo,Somalia,NA,4,31,4,31,0,1,0,0,Possible,TRUE,FALSE,Air assault - helicopter,1,1,46.199616,5.152149,Somalia
B7,2007-01-16T00:00:00Z,Zamazola,Pakistan,South Waziristan,8,8,8,8,1,1,0,0,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan
SOM004,2007-01-23T00:00:00Z,Waldena,Somalia,NA,8,8,0,0,0,0,0,0,Confirmed,TRUE,FALSE,"Air assault - AC-130 Gunship
Ground operation - capture mission",1,1,46.199616,5.152149,Somalia
B8,2007-04-27T00:00:00Z,Saidgai,Pakistan,North Waziristan,3,4,3,4,0,0,3,9,NA,NA,NA,NA,NA,NA,72.3258333,35.1919444,Pakistan
SOM005,2007-06-01T00:00:00Z,Bargal,Somalia,NA,8,12,0,0,0,0,0,0,Confirmed,FALSE,FALSE,Naval operation - USS Chafee shore bombardment,1,1,51.0762536,11.2854783,Somalia
B9,2007-06-19T00:00:00Z,Mami Rogha,Pakistan,North Waziristan,20,34,0,34,0,0,10,15,NA,NA,NA,NA,NA,NA,69.34511599999999,30.375321,Pakistan
B10,2007-11-02T00:00:00Z,Danda Darpakhel,Pakistan,North Waziristan,5,10,0,0,0,0,6,12,NA,NA,NA,NA,NA,NA,70.0518027,32.9902185,Pakistan
B11,2007-12-03T00:00:00Z,Jani Khel,Pakistan,Bannu Frontier Region,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,70.508644,32.8009383,Pakistan
